county,color,id
"Marin, CA",#2FC169,c06041
"Napa, CA",#2FC169,c06055
"Sonoma, CA",#2FC169,c06097
"Yolo, CA",#2FC169,c06113
"Placer, CA",#2FC169,c06061
"Nevada, CA",#78D79E,c06057
"Sierra, CA",#2FC169,c06091
"Yuba, CA",#2FC169,c06115
"Sutter, CA",#FFFFFF,c06101
"Colusa, CA",#54CC84,c06011
"Lake, CA",#2FC169,c06033
"Butte, CA",#2FC169,c06007
"Glenn, CA",#0CA44D,c06021
"Plumas, CA",#2FC169,c06063
"Tehama, CA",#FFFFFF,c06103
"Mendocino, CA",#2FC169,c06045
"Humboldt, CA",#54CC84,c06023
"Trinity, CA",#0CA44D,c06105
"Shasta, CA",#2FC169,c06089
"Lassen, CA",#2FC169,c06035
"Modoc, CA",#2FC169,c06049
"Montezuma, CO",#2FC169,c08083
"La Plata, CO",#2FC169,c08067
"Prowers, CO",#0F934A,c08099
"Bent, CO",#2FC169,c08011
"Kiowa, CO",#2FC169,c08061
"Cheyenne, CO",#0CA44D,c08017
"Kit Carson, CO",#2FC169,c08063
"Yuma, CO",#2FC169,c08125
"Washington, CO",#2FC169,c08121
"Phillips, CO",#2FC169,c08095
"Sedgwick, CO",#2FC169,c08115
"Logan, CO",#2FC169,c08075
"Morgan, CO",#2FC169,c08087
"Baca, CO",#2FC169,c08009
"Otero, CO",#2FC169,c08089
"Crowley, CO",#54CC84,c08025
"Lincoln, CO",#2FC169,c08073
"Elbert, CO",#2FC169,c08039
"Arapahoe, CO",#0CA44D,c08005
"Weld, CO",#2FC169,c08123
"Adams, CO",#FFFFFF,c08001
"Denver, CO",#2FC169,c08031
"Douglas, CO",#2FC169,c08035
"El Paso, CO",#2FC169,c08041
"Teller, CO",#FFFFFF,c08119
"Pueblo, CO",#0F934A,c08101
"Las Animas, CO",#2FC169,c08071
"Huerfano, CO",#54CC84,c08055
"Costilla, CO",#54CC84,c08023
"Conejos, CO",#54CC84,c08021
"Alamosa, CO",#0F934A,c08003
"Rio Grande, CO",#2FC169,c08105
"Custer, CO",#2FC169,c08027
"Fremont, CO",#2FC169,c08043
"Saguache, CO",#2FC169,c08109
"Chaffee, CO",#0CA44D,c08015
"Gunnison, CO",#2FC169,c08051
"Pitkin, CO",#2FC169,c08097
"Lake, CO",#2FC169,c08065
"Park, CO",#2FC169,c08093
"Jefferson, CO",#2FC169,c08059
"Gilpin, CO",#0CA44D,c08047
"Clear Creek, CO",#0CA44D,c08019
"Summit, CO",#FFFFFF,c08117
"Eagle, CO",#2FC169,c08037
"Boulder, CO",#2FC169,c08013
"Grand, CO",#0CA44D,c08049
"Larimer, CO",#2FC169,c08069
"Jackson, CO",#2FC169,c08057
"Routt, CO",#2FC169,c08107
"Moffat, CO",#2FC169,c08081
"Rio Blanco, CO",#2FC169,c08103
"Garfield, CO",#0CA44D,c08045
"Delta, CO",#2FC169,c08029
"Mesa, CO",#2FC169,c08077
"Montrose, CO",#2FC169,c08085
"San Juan, CO",#2FC169,c08111
"Dolores, CO",#2FC169,c08033
"San Miguel, CO",#2FC169,c08113
"Ouray, CO",#2FC169,c08091
"Hinsdale, CO",#54CC84,c08053
"Mineral, CO",#2FC169,c08079
"Archuleta, CO",#0CA44D,c08007
"Broomfield, CO",#2FC169,c08014
"Fairfield, CT",#2FC169,c09001
"Hartford, CT",#2FC169,c09003
"Litchfield, CT",#2FC169,c09005
"Middlesex, CT",#2FC169,c09007
"New_Haven, CT",#78D79E,c09009
"New_London, CT",#78D79E,c09011
"Tolland, CT",#0CA44D,c09013
"Windham, CT",#54CC84,c09015
"Kent, DE",#2FC169,c10001
"New_Castle, DE",#78D79E,c10003
"Sussex, DE",#FFFFFF,c10005
"Bay, FL",#2FC169,c12005
"Jackson, FL",#2FC169,c12063
"Charlotte, FL",#0CA44D,c12015
