county,color
"St. Johns, FL",#2FC169
"Clay, FL",#0CA44D
"Bradford, FL",#2FC169
"Union, FL",#137046
"Suwannee, FL",#FFFFFF
"Lafayette, FL",#2FC169
"Taylor, FL",#FFFFFF
"Wakulla, FL",#2FC169
"Liberty, FL",#2FC169
"Gadsden, FL",#0CA44D
"Leon, FL",#2FC169
"Jefferson, FL",#2FC169
"Madison, FL",#2FC169
"Hamilton, FL",#2FC169
"Columbia, FL",#54CC84
"Baker, FL",#2FC169
"Duval, FL",#2FC169
"Nassau, FL",#2FC169
"Rabun, GA",#0F934A
"Towns, GA",#0CA44D
"Mitchell, GA",#2FC169
"Baker, GA",#2FC169
"Miller, GA",#2FC169
"Early, GA",#2FC169
"Seminole, GA",#2FC169
"Decatur, GA",#2FC169
"Grady, GA",#0CA44D
"Thomas, GA",#FFFFFF
"Brooks, GA",#2FC169
"Colquitt, GA",#54CC84
"Cook, GA",#54CC84
"Lanier, GA",#2FC169
"Lowndes, GA",#2FC169
"Echols, GA",#2FC169
"Clinch, GA",#0CA44D
"Atkinson, GA",#78D79E
"Berrien, GA",#2FC169
"Irwin, GA",#2FC169
"Tift, GA",#FFFFFF
"Worth, GA",#54CC84
"Dougherty, GA",#2FC169
"Calhoun, GA",#0CA44D
"Clay, GA",#0CA44D
"Quitman, GA",#0F934A
"Randolph, GA",#0F934A
"Terrell, GA",#FFFFFF
"Lee, GA",#2FC169
"Crisp, GA",#54CC84
"Turner, GA",#0CA44D
"Ben Hill, GA",#2FC169
"Coffee, GA",#54CC84
"Bacon, GA",#2FC169
"Wayne, GA",#2FC169
"Pierce, GA",#2FC169
"Brantley, GA",#2FC169
"Ware, GA",#2FC169
"Charlton, GA",#0CA44D
"Camden, GA",#0CA44D
"Glynn, GA",#0CA44D
"McIntosh, GA",#2FC169
"Heard, GA",#2FC169
"Haralson, GA",#2FC169
"Polk, GA",#2FC169
"Floyd, GA",#2FC169
"Chattooga, GA",#0CA44D
"Whitfield, GA",#2FC169
"Catoosa, GA",#0CA44D
"Walker, GA",#2FC169
"Dade, GA",#2FC169
